Value of N, Comparisons of O(n), Comparisons of O(M + log n), Comparisons of O(log n)
32100,9779,322,0
32200,9569,351,0
32300,9717,331,0
32400,9748,320,0
32500,9824,329,0
32600,9810,345,0
32700,9844,329,0
32800,9810,321,0
32900,9717,317,0
33000,9860,333,0
33100,9775,313,0
33200,10047,334,0
33300,10044,361,0
33400,10009,334,0
33500,10150,338,0
33600,10205,339,0
33700,10222,341,0
33800,10299,321,0
33900,10276,338,0
34000,10240,408,0
34100,10176,365,0
34200,10196,358,0
34300,10239,385,0
34400,10235,346,0
34500,10223,352,0
34600,10311,344,0
34700,10413,331,0
34800,10262,365,0
34900,10446,346,0
35000,10664,377,0
35100,10303,322,0
35200,10626,342,0
35300,10550,363,0
35400,10774,392,0
35500,10505,339,0
35600,10613,313,0
35700,10757,364,0
35800,10834,351,0
35900,10905,358,0
36000,10845,388,0
36100,10874,374,0
36200,10959,355,0
36300,10793,385,0
36400,10906,353,0
36500,10892,328,0
36600,11119,391,0
36700,10977,354,0
36800,11206,398,0
36900,11079,389,0
37000,11358,364,0
37100,11164,367,0
37200,11334,367,0
37300,11143,392,0
37400,11363,394,0
37500,11298,390,0
37600,11213,388,0
37700,11203,392,0
37800,11299,406,0
37900,11364,385,0
38000,11328,352,0
38100,11468,384,0
38200,11370,387,0
38300,11587,421,0
38400,11483,364,0
38500,11509,390,0
38600,11583,416,0
38700,11446,380,0
38800,11501,406,0
38900,11617,391,0
39000,11819,408,0
39100,11782,386,0
39200,11682,421,0
39300,11722,356,0
39400,11946,410,0
39500,11918,404,0
39600,11818,388,0
39700,11773,392,0
39800,11810,385,0
39900,12173,412,0
40000,12077,443,0
40100,12126,422,0
40200,12184,418,0
40300,12086,417,0
40400,12194,430,0
40500,12097,422,0
40600,12281,417,0
40700,12216,392,0
40800,12265,411,0
40900,12304,426,0
41000,12269,413,0
41100,12070,409,0
41200,12523,412,0
41300,12464,420,0
41400,12391,448,0
41500,12520,433,0
41600,12521,433,0
41700,12440,447,0
41800,12699,401,0
41900,12645,465,0
42000,12538,429,0
42100,12620,419,0
42200,12732,485,0
42300,12720,461,0
42400,12748,422,0
42500,12691,407,0
42600,12824,452,0
42700,12917,425,0
42800,12939,429,0
42900,12931,418,0
43000,12868,461,0
43100,12898,461,0
43200,13058,426,0
43300,12944,430,0
43400,12995,453,0
43500,13081,421,0
43600,13100,445,0
43700,13098,423,0
43800,13013,489,0
43900,13485,452,0
44000,13268,452,0
44100,13323,462,0
44200,13189,479,0
44300,13359,417,0
44400,13247,485,0
44500,13454,483,0
44600,13477,416,0
44700,13394,436,0
44800,13528,468,0
44900,13543,451,0
45000,13667,482,0
45100,13461,410,0
45200,13467,440,0
45300,13527,493,0
45400,13483,448,0
45500,13633,448,0
45600,13669,462,0
45700,13779,466,0
45800,13709,469,0
45900,13774,482,0
46000,13893,463,0
46100,14000,454,0
46200,13722,466,0
46300,14042,512,0
46400,13892,458,0
46500,13932,465,0
46600,13944,482,0
46700,13926,458,0
46800,14142,429,0
46900,14000,476,0
47000,14013,488,0
47100,14096,470,0
47200,14117,451,0
47300,14333,479,0
47400,14284,502,0
47500,14431,496,0
47600,14343,500,0
47700,14346,484,0
47800,14360,482,0
47900,14310,514,0
48000,14477,486,0
48100,14496,479,0
48200,14509,479,0
48300,14670,499,0
48400,14561,494,0
48500,14637,510,0
48600,14709,496,0
48700,14987,504,0
48800,14714,457,0
48900,14862,484,0
49000,14619,505,0
49100,14510,463,0
49200,14707,522,0
49300,14752,527,0
49400,14940,519,0
49500,14755,505,0
49600,14731,502,0
49700,14702,515,0
49800,15064,501,0
49900,15058,538,0
50000,15154,516,0
50100,14869,464,0
50200,15083,522,0
50300,15084,507,0
50400,15245,511,0
50500,15061,509,0
50600,15120,516,0
50700,15281,567,0
50800,15136,535,0
50900,15208,485,0
51000,15335,520,0
51100,15396,518,0
51200,15491,504,0
51300,15428,536,0
51400,15304,507,0
51500,15403,480,0
51600,15385,543,0
51700,15557,533,0
51800,15493,538,0
51900,15640,500,0
52000,15616,536,0
52100,15456,515,0
52200,15595,500,0
52300,15783,542,0
52400,15874,518,0
52500,15686,553,0
52600,15817,485,0
52700,15785,521,0
52800,15914,545,0
52900,16152,481,0
53000,15796,548,0
53100,15851,558,0
53200,15845,519,0
53300,15872,553,0
53400,16070,572,0
53500,15961,526,0
53600,16131,567,0
53700,16180,551,0
53800,16094,572,0
53900,16241,534,0
54000,15984,567,0
54100,16241,547,0
54200,16141,549,0
54300,16156,511,0
54400,16538,558,0
54500,16288,547,0
54600,16291,537,0
54700,16583,534,0
54800,16441,546,0
54900,16613,543,0
55000,16627,560,0
55100,16485,548,0
55200,16341,558,0
55300,16606,565,0
55400,16642,568,0
55500,16611,579,0
55600,16727,558,0
55700,16637,578,0
55800,16729,561,0
55900,16829,530,0
56000,17046,554,0
56100,16831,591,0
56200,16850,579,0
56300,16831,572,0
56400,16859,581,0
56500,17025,611,0
56600,16995,566,0
56700,16989,612,0
56800,17102,571,0
56900,16957,595,0
57000,17102,537,0
57100,17182,540,0
57200,17181,573,0
57300,17352,605,0
57400,17235,592,0
57500,17321,561,0
57600,17381,566,0
57700,17128,576,0
57800,17352,566,0
57900,17389,609,0
58000,17383,602,0
58100,17454,597,0
58200,17561,605,0
58300,17511,592,0
58400,17416,544,0
58500,17462,627,0
58600,17654,588,0
58700,17657,601,0
58800,17631,603,0
58900,17775,605,0
59000,17810,563,0
59100,17683,621,0
59200,17884,586,0
59300,17829,557,0
59400,17925,603,0
59500,17909,603,0
59600,18035,574,0
59700,17882,618,0
59800,17967,593,0
59900,18027,588,0
60000,17979,609,0
60100,18105,626,0
60200,17850,573,0
60300,17991,576,0
60400,18213,614,0
60500,18202,610,0
60600,18095,582,0
60700,18135,590,0
60800,18288,602,0
60900,18201,627,0
61000,18332,611,0
61100,18444,612,0
61200,18173,613,0
61300,18396,605,0
61400,18279,601,0
61500,18518,586,0
61600,18375,636,0
61700,18394,575,0
61800,18686,649,0
61900,18505,584,0
62000,18695,639,0
62100,18561,597,0
62200,18549,625,0
62300,18521,611,0
62400,18955,643,0
62500,18574,676,0
62600,18991,674,0
62700,18704,638,0
62800,18843,631,0
62900,18970,627,0
63000,18774,631,0
63100,18931,646,0
63200,19007,663,0
63300,18975,679,0
63400,19061,683,0
63500,19001,636,0
63600,19252,630,0
63700,19150,682,0
63800,19142,641,0
63900,19155,641,0
64000,18951,618,0
64100,19366,608,0
64200,19124,660,0
64300,19314,627,0
64400,19313,612,0
64500,19283,602,0
64600,19287,630,0
64700,19476,682,0
64800,19391,688,0
64900,19513,679,0
65000,19635,678,0
65100,19362,600,0
65200,19640,629,0
65300,19677,698,0
65400,19705,684,0
65500,19694,707,0
65600,19728,628,0
65700,19760,708,0
65800,19812,668,0
65900,19743,636,0
66000,19845,674,0
66100,19703,669,0
66200,20078,709,0
66300,19983,671,0
66400,19949,665,0
66500,19915,707,0
66600,20130,684,0
66700,20121,675,0
66800,20199,712,0
66900,19936,657,0
67000,20149,666,0
67100,20131,663,0
67200,20283,606,0
67300,20311,717,0
67400,20273,700,0
67500,20261,706,0
67600,20358,680,0
67700,20252,727,0
67800,20264,653,0
67900,20264,664,0
68000,20279,665,0
68100,20309,662,0
68200,20658,708,0
68300,20553,682,0
68400,20381,704,0
68500,20536,696,0
68600,20726,673,0
68700,20470,709,0
68800,20358,678,0
68900,20744,720,0
69000,20784,697,0
69100,20788,675,0
69200,20691,666,0
69300,20635,683,0
69400,20613,653,0
69500,20865,701,0
69600,21011,739,0
69700,20590,713,0
69800,20909,718,0
69900,20916,694,0
70000,20776,688,0
70100,21124,727,0
70200,21127,698,0
70300,21067,743,0
70400,21259,680,0
70500,21339,693,0
70600,21100,729,0
70700,21206,732,0
70800,21029,692,0
70900,21205,679,0
71000,21358,717,0
71100,21346,729,0
71200,21340,729,0
71300,21632,727,0
71400,21301,673,0
71500,21349,756,0
71600,21424,710,0
71700,21494,712,0
71800,21666,738,0
71900,21747,720,0
72000,21509,741,0
72100,21704,673,0
72200,21896,743,0
72300,21660,736,0
72400,21716,749,0
72500,21625,707,0
72600,21700,721,0
72700,21779,773,0
72800,21829,751,0
72900,21812,718,0
73000,21875,682,0
73100,21812,757,0
73200,21711,725,0
73300,22021,719,0
73400,21829,710,0
73500,21953,738,0
73600,21944,722,0
73700,22202,749,0
73800,21935,761,0
73900,22544,735,0
74000,22230,709,0
74100,22169,736,0
74200,22219,721,0
74300,22047,790,0
74400,22419,798,0
74500,22375,798,0
74600,22250,716,0
74700,22351,766,0
74800,22338,730,0
74900,22425,742,0
75000,22446,770,0
75100,22610,743,0
75200,22564,760,0
75300,22525,716,0
75400,22487,734,0
75500,22560,753,0
75600,22757,743,0
75700,22651,803,0
75800,23021,771,0
75900,22669,796,0
76000,22749,721,0
76100,22835,777,0
76200,22884,736,0
76300,22741,746,0
76400,23074,801,0
76500,22742,799,0
76600,23022,809,0
76700,22998,780,0
76800,23241,790,0
76900,23083,740,0
77000,23212,777,0
77100,23269,804,0
77200,22824,744,0
77300,23044,743,0
77400,23256,775,0
77500,23166,808,0
77600,23262,758,0
77700,23347,831,0
77800,23410,732,0
77900,23375,798,0
78000,23198,772,0
78100,23368,757,0
78200,23456,834,0
78300,23529,810,0
78400,23642,768,0
78500,23463,791,0
78600,23433,861,0
78700,23867,819,0
78800,23696,793,0
78900,23767,782,0
79000,23663,822,0
79100,23665,781,0
79200,23602,802,0
79300,24036,784,0
79400,23809,845,0
79500,23866,819,0
79600,23693,837,0
79700,23918,848,0
79800,23809,785,0
79900,23751,793,0
80000,23926,863,0
80100,24000,850,0
80200,23913,759,0
80300,24331,823,0
80400,24167,768,0
80500,24321,789,0
80600,24053,782,0
80700,24219,837,0
80800,24173,801,0
80900,24318,859,0
81000,24268,805,0
81100,24227,813,0
81200,24250,876,0
81300,24690,833,0
81400,24478,845,0
81500,24236,809,0
81600,24489,822,0
81700,24718,809,0
81800,24485,801,0
81900,24365,842,0
82000,24521,813,0
82100,24596,838,0
82200,24632,848,0
82300,24663,748,0
82400,24758,839,0
82500,24947,828,0
82600,24909,879,0
82700,24759,810,0
82800,24725,808,0
82900,24918,813,0
83000,24753,835,0
83100,24731,827,0
83200,25063,880,0
83300,24930,812,0
83400,25282,875,0
83500,25218,841,0
83600,25070,842,0
83700,25080,841,0
83800,25108,872,0
83900,25011,853,0
84000,25224,859,0
84100,25066,856,0
84200,25286,814,0
84300,24968,826,0
84400,25277,822,0
84500,25521,853,0
84600,25546,861,0
84700,25397,907,0
84800,25394,870,0
84900,25226,841,0
85000,25624,895,0
85100,25208,839,0
85200,25602,874,0
85300,25414,903,0
85400,25400,898,0
85500,25717,904,0
85600,25867,898,0
85700,25706,853,0
85800,25626,851,0
85900,25821,886,0
86000,26188,876,0
86100,26000,905,0
86200,26009,879,0
86300,25856,865,0
86400,26045,873,0
86500,26006,857,0
86600,25810,806,0
86700,25818,880,0
86800,26070,834,0
86900,25853,881,0
87000,26100,874,0
87100,26123,877,0
87200,26394,898,0
87300,26071,898,0
87400,26473,853,0
87500,26103,906,0
87600,26321,912,0
87700,26238,831,0
87800,26516,876,0
87900,26301,889,0
88000,26377,841,0
88100,26469,874,0
88200,26585,889,0
88300,26406,865,0
88400,26492,857,0
88500,26618,850,0
88600,26684,953,0
88700,26625,895,0
88800,26543,927,0
88900,26526,895,0
89000,26647,935,0
89100,26973,863,0
89200,26666,921,0
89300,26989,933,0
89400,26718,919,0
89500,26776,921,0
89600,26935,942,0
89700,26767,869,0
89800,27089,893,0
89900,26923,908,0
90000,27178,901,0
90100,27259,890,0
90200,26909,888,0
90300,26781,906,0
90400,27030,963,0
90500,27124,860,0
90600,27165,906,0
90700,27137,916,0
90800,27296,975,0
90900,27050,837,0
91000,27341,949,0
91100,27205,905,0
91200,27434,925,0
91300,27480,888,0
91400,27262,889,0
91500,27326,886,0
91600,27338,874,0
91700,27324,913,0
91800,27417,853,0
91900,27731,917,0
92000,27986,982,0
92100,27551,986,0
92200,27560,904,0
92300,27610,935,0
92400,27591,887,0
92500,27768,961,0
92600,27762,901,0
